ENSDARG00000042370	1	chr17	-	27971144	27976031	27972332,	27975916,
ENSDARG00000059774	1	chr21	-	22917221	22951646	22918415,22922851,22924255,22924746,22924989,22928187,	22922360,22924058,22924684,22924912,22928101,22951522,
ENSDARG00000039256	1	chr6	+	21095918	21155195	21096232,21097578,21116203,21118667,21120491,21122111,21130720,21130998,21131297,21131613,21135555,21135739,21138300,21138643,21138894,21140625,21143193,21143419,21143699,21143855,21144043,21144308,21144417,21144658,21144794,21146108,21148473,21148765,21148976,21149235,21149450,21149776,21151147,21151536,21151857,21152027,21153389,	21097092,21116099,21118553,21119365,21121971,21130463,21130840,21131108,21131384,21135436,21135635,21138094,21138520,21138722,21140513,21143025,21143314,21143502,21143798,21143966,21144136,21144391,21144506,21144752,21146040,21146205,21148661,21148860,21149068,21149328,21149612,21150613,21151297,21151634,21151952,21153240,21154967,
ENSDARG00000100555	1	chr18	-	3157911	3166726	3160654,3163714,	3163598,3166044,
ENSDARG00000116895	1	chr24	+	4434117	4437748	4434590,	4436544,
ENSDARG00000054534	1	chr10	-	42903091	42923385	42905837,42906261,42909670,42909882,42910041,42911365,42911534,42912323,42913075,42913592,42915395,42918313,42918448,42920660,	42906135,42909542,42909749,42909958,42911302,42911479,42912173,42912956,42913433,42915251,42918212,42918388,42920591,42923217,
ENSDARG00000078335	1	chr21	+	37513058	37550854	37513548,37515354,37516405,37517154,37526577,37526891,37531106,37535391,37538801,37539307,	37514373,37515892,37517010,37526485,37526746,37530957,37535201,37538422,37539056,37548134,
ENSDARG00000024416	1	chr19	-	2395114	2404599	2397876,2400588,2402671,	2400380,2402530,2403790,
ENSDARG00000101297	1	chr25	-	32787363	32869794	32788043,32790476,32792723,32797218,32800061,32802458,32803725,32810420,32815644,32842676,32863488,	32789815,32792661,32797041,32799946,32802320,32803669,32810347,32815490,32842482,32863371,32869704,
ENSDARG00000099511	1	chr22	-	7971101	8074212	7973003,7974332,7975226,7978230,	7974030,7974933,7977928,8073870,
ENSDARG00000088198	1	chr22	+	8272393	8274379	8272543,8273160,8273666,	8272837,8273388,8273751,
ENSDARG00000103551	1	chr12	-	35914103	35936329	35914289,35915339,35915613,35915922,35918138,35918418,35918642,35918942,35920143,35920412,35920558,35920862,35921077,35921276,35921506,35925427,35925677,35925977,35927366,35927650,35927961,35928374,35928611,35929337,35929729,35930023,35930346,35930620,35931696,35932075,35932313,35932468,35932790,35933077,35933487,35933844,35934093,35934538,35935661,	35915239,35915493,35915735,35917935,35918243,35918509,35918754,35920008,35920256,35920509,35920746,35920941,35921178,35921370,35921627,35925528,35925793,35926181,35927498,35927818,35928157,35928452,35928730,35929580,35929856,35930187,35930492,35931598,35931932,35932151,35932413,35932577,35932871,35933240,35933576,35933927,35934383,35934628,35936221,
ENSDARG00000099185	1	chr11	+	24001993	24008739	24002651,24002767,24003106,24004338,24004596,24004810,24005042,24005329,24005527,24005742,	24002741,24002902,24004282,24004431,24004686,24004919,24005147,24005411,24005610,24007433,
ENSDARG00000067815	1	chr2	-	57609291	57707039	57609854,57617248,57620390,57624602,	57616885,57619975,57624102,57706644,
ENSDARG00000100374	1	chr6	-	1161224	1187749	1162415,1164352,1164745,1165573,1166619,1167945,1171009,1171408,1173336,1174669,1175293,1176003,1177939,1179596,1184883,	1164218,1164650,1165466,1166463,1167869,1170917,1171183,1173221,1174527,1175174,1175931,1177832,1179487,1184823,1187449,
ENSDARG00000100897	1	chr14	-	3186485	3268155	3190167,3194262,3196275,3196551,3197588,3200082,3201326,3204420,3206974,3207400,3207589,3209559,3209750,3211446,3215067,3216273,3216586,3221160,3223876,3224445,3226919,3229414,3263658,	3194021,3196170,3196452,3197477,3199960,3201211,3204254,3206824,3207290,3207485,3209427,3209656,3211238,3214944,3216158,3216415,3220995,3223746,3224188,3226635,3229330,3263392,3267619,
ENSDARG00000068417	1	chr2	-	58256276	58257624	58257344,	58257429,
ENSDARG00000018653	1	chr8	-	46758264	46894362	46758434,46794168,46809367,46853021,46855396,46859109,46881352,46883722,	46794116,46809251,46852935,46855282,46859018,46881196,46883605,46894216,
ENSDARG00000103600	1	chr10	-	5667401	5684326	5668330,5670000,5672610,5676610,	5669707,5672353,5676485,5683786,
ENSDARG00000045979	1	chr5	-	4482437	4493502	4482793,4483005,4485255,4485780,4488255,	4482904,4485142,4485701,4488116,4493389,
ENSDARG00000039934	0	chr10	-	53587	57270	54003,55699,56883,	55517,56105,57008,
ENSDARG00000104806	1	chr14	-	2549313	2588216	2550686,2553818,2555405,2556516,2556776,2559006,2561878,2562089,2563499,2567622,2571444,2575618,2581536,	2553654,2555327,2556406,2556658,2558757,2561760,2561952,2563409,2567436,2571225,2575550,2581432,2588050,
ENSDARG00000117069	1	chr17	+	1193815	1271912	1194063,1256789,1258489,1262335,1266373,	1256637,1258228,1262220,1266214,1267600,
ENSDARG00000074341	1	chr22	+	35516440	35531787	35516744,35520464,35523843,35524498,	35520159,35523701,35524318,35526552,
ENSDARG00000057477	1	chr7	+	15618127	15653635	15618230,15620192,15620318,15623537,15623763,15629475,15634426,15646971,15648814,	15619964,15620278,15623500,15623626,15629269,15634324,15646796,15648655,15653399,
ENSDARG00000052413	1	chr5	-	57673141	57686487	57674737,57677465,57678116,57678515,57681298,57684403,57686119,	57677326,57677969,57678367,57681114,57684274,57686024,57686284,
ENSDARG00000024728	1	chr10	-	14525184	14536399	14530043,14530186,14532479,14532681,14533469,	14530123,14532263,14532597,14533261,14536264,
ENSDARG00000017891	1	chr23	+	2421313	2443679	2421759,2423894,2426481,2429301,2430865,2432726,2435778,2438515,2438721,2440716,2443255,	2423809,2426353,2429204,2430755,2432545,2435652,2438340,2438598,2440524,2443092,2443466,
ENSDARG00000105391	1	chr7	+	13918349	13984507	13918638,13922263,13925925,13929439,13930019,13933262,13935882,13937457,13938195,13939038,13940711,13940918,13941178,13943594,13945466,13949716,13953216,13958684,13958911,13961052,13961299,13964364,13968872,13969107,13974357,13974592,13974796,13978684,	13922119,13924813,13929415,13929527,13932387,13935820,13937332,13938029,13938852,13940596,13940786,13940996,13943556,13945062,13949658,13953093,13958602,13958776,13960856,13961209,13964205,13968703,13968952,13974215,13974444,13974699,13978537,13984281,
ENSDARG00000101527	1	chr9	-	52949626	52962521	52950673,52951000,52952391,52955546,52957984,52960787,	52950863,52952258,52955423,52957916,52960637,52962085,
ENSDARG00000052396	1	chr13	-	50190664	50200348	50190943,50191082,50192228,50193179,50193908,50195894,50196123,50196322,50199085,50199472,50200135,	50191020,50192127,50193042,50193728,50195847,50195983,50196200,50198966,50199446,50199550,50200311,
ENSDARG00000032896	0	chr17	-	1664632	1703259	1665083,1668076,1671947,1681677,1702173,	1667996,1671827,1681570,1701878,1703231,
ENSDARG00000102249	1	chr18	-	1291434	1414760	1292339,1292838,1293264,1294666,1297491,1301257,1349167,1354249,1360916,1363212,1363352,1386323,1391679,1404713,	1292647,1293080,1294518,1297414,1301189,1349121,1354174,1360872,1363151,1363305,1386260,1391552,1404527,1414637,
ENSDARG00000036793	1	chr17	+	51940768	52053880	51940900,51941268,51942702,51944033,51944470,51946513,51947159,51949423,51949589,51955520,51957827,51959027,51970106,51976073,51980493,51985697,51985911,51990774,51991691,51992876,51996190,51998721,52002565,52002766,52002957,52006441,52006948,52015811,52026708,52036976,52048131,	51941145,51942596,51943951,51944364,51946383,51947077,51949354,51949505,51955419,51957736,51958920,51970025,51976012,51980402,51985596,51985820,51990712,51991671,51992731,51996052,51998604,52002419,52002672,52002842,52005968,52006761,52015693,52026543,52036789,52048049,52053828,
ENSDARG00000090213	1	chr24	-	41316714	41320037	41317493,41318213,41319586,	41318132,41319539,41319979,
ENSDARG00000091027	1	chr2	+	2761882	2766520	2762256,2765363,2765572,	2765199,2765492,2766309,
ENSDARG00000098551	1	chr4	+	3287819	3290445	3288385,	3289273,
ENSDARG00000088439	1	chr14	+	26224541	26227970	26224661,26224859,26225102,26227346,	26224733,26224950,26227164,26227429,
ENSDARG00000104193	1	chr3	-	8158039	8199772	8159549,	8199443,
ENSDARG00000094854	1	chr4	+	76619791	76633286	76620595,76623020,76623245,76625981,76626912,76631618,	76622813,76623150,76625913,76626781,76631505,76632240,
ENSDARG00000101481	1	chr16	-	31706841	31718013	31709940,31714461,31714812,	31714360,31714628,31717512,
ENSDARG00000090570	1	chr4	-	75165958	75172216	75167611,75168144,75168322,75168541,	75168049,75168270,75168446,75171527,
ENSDARG00000036929	1	chr19	+	170705	175977	170947,173850,	171869,175342,
ENSDARG00000033009	1	chr5	-	36944533	36948586	36946610,36948359,	36948206,36948443,
ENSDARG00000067806	0	chr5	-	36538535	36549024	36538921,36539258,36539442,36540243,36542797,36543319,36546371,36546662,36548628,36548827,	36539114,36539398,36540178,36542744,36543275,36546295,36546593,36548464,36548725,36548918,
ENSDARG00000114067	1	chr14	+	49683767	49761974	49684211,49710743,49731396,49734041,49738430,49740068,49750401,49758168,	49710693,49731250,49733871,49738305,49740021,49750285,49756540,49759091,
ENSDARG00000099873	1	chr3	+	49021079	49024570	49021246,49021379,49021682,49024162,49024367,	49021325,49021495,49024001,49024257,49024454,
ENSDARG00000105265	1	chr13	-	330611	337318	331506,336500,	335401,336846,
ENSDARG00000091718	1	chr22	-	30520839	30574938	30520976,30573443,30573679,30574095,30574554,	30573391,30573584,30573796,30574222,30574890,
ENSDARG00000070431	1	chr1	+	14382584	14404555	14383100,14385715,14387493,14387704,14390040,14390264,14390477,14391993,14392204,14395528,14397897,14398061,14399285,14400262,14400599,14403109,	14385658,14387379,14387598,14389976,14390157,14390347,14391878,14392151,14395429,14397744,14398035,14399231,14400204,14400419,14402948,14403373,
ENSDARG00000068050	1	chr8	-	15633454	15991801	15633751,15754492,15951219,15988215,	15754398,15951095,15988093,15991415,
ENSDARG00000104568	1	chr3	+	43955864	43987286	43956135,43959889,43963646,43966602,43966775,43967582,43969195,43969513,43970774,43970986,43971200,43971462,43973691,43981416,	43959703,43963591,43966495,43966696,43967486,43969137,43969369,43970725,43970921,43971075,43971288,43973556,43981234,43985198,
ENSDARG00000115178	0	chr7	-	11666686	11677237	11666824,11672844,	11672698,11676888,
ENSDARG00000098081	1	chr17	-	53273684	53282539	53273980,53274272,53274612,53275042,53275239,53276437,53277329,53278744,53280203,	53274076,53274460,53274902,53275157,53276214,53277262,53278638,53280153,53282320,
ENSDARG00000102267	1	chr3	-	48253202	48259289	48255925,48257287,	48256026,48258344,
ENSDARG00000113666	1	chr22	+	2632961	2639237	2633390,	2637702,
ENSDARG00000076191	1	chr25	-	18766165	18778356	18766401,18768945,18769226,18769476,18769960,18771421,18771626,18772384,18772793,18772975,18773125,18773348,18774919,18775100,18775289,18777496,18777636,18777801,18778020,	18768909,18769143,18769350,18769841,18771259,18771506,18772286,18772661,18772875,18773073,18773213,18774824,18775002,18775180,18777342,18777569,18777714,18777917,18778216,
ENSDARG00000079555	1	chr20	-	5158419	5229157	5159066,5163327,5166651,5168817,5176443,5181919,	5163229,5166559,5168716,5176405,5181840,5228083,
ENSDARG00000043571	1	chr8	+	12925385	12948930	12925586,12930295,12930656,12930791,12932846,12934883,12935263,12935621,12935867,12936044,12936235,12936401,12936633,12936971,12937198,12937355,12942555,12947080,12947343,	12930201,12930534,12930737,12932685,12934783,12935168,12935567,12935705,12935954,12936172,12936310,12936491,12936767,12937088,12937288,12942405,12946979,12947208,12947434,
ENSDARG00000099517	1	chr17	+	1323699	1355790	1323902,1330572,1332586,1335124,1335289,1339314,1339474,1342002,1346572,1349291,1350296,1351684,	1330470,1332524,1335074,1335223,1339207,1339393,1341876,1346418,1349167,1350199,1351535,1353096,
ENSDARG00000078214	0	chr5	-	8712798	8765428	8713177,8718789,8718984,8721668,8721829,8724061,8724195,8724562,8725461,8730949,8731292,8731537,8733442,8735628,8737091,8738310,8741683,8741888,8745386,8749460,8749829,8752895,8756131,8756294,8759952,8760139,	8718665,8718886,8721555,8721761,8723930,8724144,8724428,8725304,8730776,8731170,8731376,8733294,8735541,8736983,8738104,8741558,8741778,8745097,8749343,8749662,8752705,8756024,8756220,8759869,8760044,8765178,
ENSDARG00000090965	1	chr7	-	1330501	1348640	1330607,1332036,1335425,1337287,1340932,1342175,1343427,	1331987,1335365,1337205,1340777,1342126,1343276,1347419,
ENSDARG00000111373	1	chr12	+	46462090	46466474	46462137,46462581,46462882,46464245,46464395,46464751,46465104,46465430,46465667,46465851,	46462496,46462785,46464164,46464325,46464676,46465042,46465364,46465549,46465765,46466001,
ENSDARG00000111509	1	chr18	+	5454341	5461423	5454529,5455205,5455507,	5455062,5455312,5456732,
ENSDARG00000102675	1	chr22	-	35321110	35330532	35321336,35322381,35322780,35324596,35326622,35328408,35328534,35328777,	35322118,35322570,35324436,35326453,35328299,35328490,35328611,35330098,
ENSDARG00000021984	0	chr21	-	44005521	44009169	44005680,44008260,	44008154,44009056,
ENSDARG00000104031	0	chr17	+	40989973	40999861	40990107,40994166,40995930,	40994148,40995824,40999374,
ENSDARG00000111211	0	chr21	-	17013448	17016788	17013635,17014978,17015212,17015889,	17014852,17015088,17015864,17015998,
ENSDARG00000104483	1	chr3	-	49126103	49138004	49126254,49126413,49130259,49130530,49131760,49134480,	49126332,49130153,49130350,49131575,49134065,49137781,
ENSDARG00000025372	1	chr2	-	53483322	53500424	53485505,53489936,53494143,53497730,	53489741,53494021,53497594,53500124,
ENSDARG00000011094	1	chr14	-	46354648	46374870	46358255,46360455,46363925,46370251,46372164,46372497,	46360322,46363529,46370028,46372058,46372254,46374107,
ENSDARG00000089914	1	chr21	+	33503835	33550282	33503926,33504869,33505309,33507690,33511423,33521312,33521875,33523070,33541099,33548189,	33504773,33505201,33507520,33511243,33521072,33521794,33522993,33540837,33548015,33548302,
ENSDARG00000115756	1	chr8	+	34540801	34555991	34541186,34541476,34541655,34555253,34555632,	34541380,34541580,34555165,34555493,34555728,
ENSDARG00000103608	1	chr11	+	43751263	43787153	43751544,43782381,	43782164,43786387,
ENSDARG00000099023	1	chr22	+	8012532	8018914	8013553,8014952,8017721,	8014635,8017557,8017919,
ENSDARG00000045946	1	chr7	+	69905307	69951096	69905887,69911633,69913660,69913888,69915606,69917752,69918189,69918768,69921946,69925215,69927242,69934795,69937690,69939379,69939910,69940106,69941215,69941530,69943049,69943602,69946925,69947721,	69911435,69913558,69913746,69915364,69917598,69918078,69918641,69921808,69925100,69927118,69934604,69937597,69939263,69939740,69940010,69941070,69941392,69942931,69943423,69946734,69947632,69950146,
ENSDARG00000105490	1	chr7	-	72402279	72435159	72402409,72406737,72408713,72410126,72411711,72411921,72414083,72415357,72415918,72417129,72417413,72419783,72419950,72421790,72424763,	72406641,72408632,72409972,72411655,72411795,72413974,72415283,72415839,72416968,72417234,72419633,72419867,72421661,72424598,72434922,
ENSDARG00000090038	1	chr4	+	20566371	20571302	20566424,20567405,20567937,20568311,20568961,20569463,	20567037,20567617,20568033,20568883,20569391,20569647,
ENSDARG00000092204	1	chr4	+	76659013	76667229	76659057,76662216,76662441,76664006,76664828,76665989,	76662018,76662331,76663938,76664718,76665876,76666840,
ENSDARG00000114991	1	chr24	-	36129216	36136401	36129353,36129537,36135076,	36129450,36134975,36136227,
ENSDARG00000074750	1	chr18	+	45676788	45698627	45677564,45681894,45682129,45686967,45687321,45687726,45687953,45689274,45691202,45692036,45694573,45694770,	45681794,45681974,45683521,45687074,45687610,45687820,45689054,45691065,45691939,45694427,45694675,45697427,
ENSDARG00000076873	0	chr8	+	31248917	31254368	31252137,	31253423,
ENSDARG00000059711	0	chr5	+	50869091	50899688	50869956,50872026,50872230,50872499,50874987,50876212,50877630,50879225,50879376,50879568,50881150,50882510,50885702,50885935,50886191,50886435,50886647,50889486,50889755,50893087,50893733,50895426,50895612,50895900,50896107,	50871799,50872114,50872323,50874819,50876078,50877467,50879105,50879318,50879467,50881035,50882333,50885580,50885787,50886116,50886295,50886530,50889332,50889592,50892935,50893636,50895302,50895523,50895700,50896006,50897402,
ENSDARG00000105784	1	chr4	-	77267930	77274225	77273812,	77273958,
ENSDARG00000020371	1	chr12	+	3301149	3310677	3301469,3304043,3304215,3308382,3308603,3309089,	3303937,3304125,3308264,3308462,3308733,3309993,
ENSDARG00000102401	1	chr3	-	7395174	7405452	7396341,	7405252,
ENSDARG00000104399	0	chr22	+	5478353	5479326	5478386,	5478467,
ENSDARG00000042561	1	chr1	-	59192197	59216197	59192669,59197854,59201485,59204885,59207131,	59197822,59201232,59204471,59206711,59216008,
ENSDARG00000116556	1	chr20	+	4392687	4454794	4393748,4414143,	4413778,4452840,
ENSDARG00000005526	1	chr6	-	46878889	46941245	46879464,46882709,46903382,46905044,46906730,46907473,46907761,46908005,46908192,46912586,46915808,46918405,46928318,	46882383,46903347,46904772,46906562,46907360,46907578,46907960,46908151,46912487,46915669,46918286,46928231,46941171,
ENSDARG00000062568	1	chr13	-	51893676	51903150	51894471,51896324,51899210,51899446,51899740,51899889,	51896251,51898984,51899305,51899584,51899811,51903017,
ENSDARG00000091754	1	chr3	-	52892671	52899394	52895519,52895757,52898643,	52895606,52898503,52898896,
ENSDARG00000111290	0	chr17	-	51934501	51938663	51934589,51935205,51935863,	51935087,51935773,51937761,
ENSDARG00000039517	1	chr2	-	1499826	1514001	1500514,1501075,1502922,1503205,1504391,1505117,1506805,1507366,1509593,1511845,1512377,	1501007,1502772,1503042,1504263,1504877,1506608,1507234,1509452,1511695,1512275,1513902,
ENSDARG00000068729	1	chr13	-	50207943	50234122	50208072,50212848,50214361,50216807,50218948,50221492,50222683,50222859,50224543,50224681,50225453,50228939,50229159,50230403,50231685,50231903,50232134,50233844,	50212786,50214260,50216664,50218744,50221373,50222564,50222783,50224495,50224647,50225348,50228899,50229027,50230254,50231633,50231768,50231989,50233715,50233988,
ENSDARG00000074933	1	chr6	+	23010242	23026079	23011069,23013334,23014304,23018586,23018900,23019080,23024023,	23013217,23014199,23018401,23018760,23019000,23023929,23024113,
ENSDARG00000017315	1	chr7	-	59575820	59589547	59576082,59576357,59576603,59576808,59577032,59581856,59586763,59587012,59588592,59588769,59588974,59589267,	59576266,59576444,59576699,59576890,59581709,59586497,59586916,59588428,59588686,59588874,59589059,59589405,
ENSDARG00000023472	1	chr19	-	47975916	47997424	47976927,47977373,47978323,47978523,47980369,47980633,47980875,47983037,47983476,47983993,47984504,47985026,47986487,47987199,47989422,	47977149,47978263,47978402,47980219,47980514,47980717,47982699,47983373,47983849,47984303,47984788,47986234,47986975,47989373,47997295,
ENSDARG00000112069	1	chr22	+	8489400	8491260	8489690,	8490966,
ENSDARG00000069848	1	chr7	+	17456686	17458631	17456767,17457215,17457643,17457865,17458185,	17456865,17457302,17457776,17458154,17458497,
ENSDARG00000110290	1	chr4	+	51201875	51239218	51202111,51202787,51228456,51230980,51233868,51234992,	51202680,51228349,51230873,51233784,51234797,51235077,
ENSDARG00000098855	1	chr19	-	1406262	1411409	1407867,1408192,	1407980,1410624,
ENSDARG00000111637	1	chr2	+	38731696	38741768	38732364,38734079,38734430,38734683,38736663,	38733984,38734188,38734524,38736604,38736746,
ENSDARG00000101037	1	chr3	-	49504919	49514874	49505616,49507539,49512711,	49507363,49512596,49514510,
ENSDARG00000116118	1	chr14	-	10909	12847	11693,	12497,
ENSDARG00000002255	1	chr24	+	41931585	41986895	41931652,41953757,41954853,41955670,41955782,41955944,41956938,41957552,41963918,41964657,41965283,41969796,41970013,41971096,41972648,41974797,41978170,41978456,41981201,41981675,41981937,	41953618,41954662,41955566,41955740,41955869,41956720,41957465,41963766,41964560,41965108,41969507,41969966,41971061,41972460,41974699,41978015,41978373,41981088,41981577,41981857,41986106,
ENSDARG00000030758	1	chr15	-	2884711	2903475	2889646,2891672,2897832,	2891585,2897683,2903281,
ENSDARG00000116047	1	chr11	-	42754776	42761293	42758300,42760798,	42760742,42761254,
ENSDARG00000038865	1	chr7	+	61764040	61806065	61764227,61766597,61766877,61767448,61769816,61769998,61770351,61771539,61772985,61775626,61775853,61777895,61787191,61798303,61799955,61800136,61804590,61805206,61805640,	61766364,61766803,61767359,61769673,61769910,61770255,61771357,61772863,61775506,61775731,61777782,61787076,61798129,61799888,61800050,61804023,61804621,61805257,61805900,
ENSDARG00000099865	1	chr21	+	3166988	3175724	3167141,3169510,3170673,3170880,3171692,3172229,3172402,	3169342,3170515,3170749,3171596,3172065,3172314,3173084,
ENSDARG00000089307	0	chr10	+	8656417	8657684	8656517,	8656615,
ENSDARG00000069615	1	chr10	+	3111004	3129887	3111655,3119204,3122254,3124456,3124764,3127843,3128213,3128465,3128677,	3119014,3122056,3124361,3124543,3127758,3128090,3128331,3128552,3129771,
ENSDARG00000086786	1	chr5	+	66220601	66236676	66220663,66221827,66227270,66227458,66229375,66229844,66230151,66230359,66232770,66233026,66234215,66234433,	66221600,66227174,66227355,66229217,66229665,66230040,66230248,66232662,66232936,66234168,66234344,66236147,
ENSDARG00000042245	1	chr2	+	2470687	2481947	2470940,2476407,2478702,2480216,2480497,	2476380,2478553,2480043,2480420,2481482,
ENSDARG00000012040	1	chr19	-	12030832	12078583	12033914,12034175,12037447,12038723,12040699,12047037,12047312,12049619,12056846,	12034032,12037234,12038562,12040585,12046875,12047168,12049411,12056003,12078378,
ENSDARG00000105056	1	chr22	+	1352192	1361148	1352378,1353896,	1353703,1359291,
ENSDARG00000105691	1	chr4	-	77322543	77332032	77322940,77323135,77323292,77325279,77325539,77325828,77326063,77326357,77327063,77331320,77331506,77331796,	77323018,77323228,77325095,77325374,77325633,77325899,77326154,77326965,77331168,77331400,77331664,77331964,
ENSDARG00000115315	0	chr10	-	8146348	8153043	8147438,8149008,8152376,8152564,	8148898,8152288,8152504,8152653,
ENSDARG00000115894	1	chr4	-	57262332	57328071	57265340,57266339,57307661,57312346,	57266166,57307488,57310499,57327840,
ENSDARG00000099266	1	chr22	+	25814941	25845945	25815115,	25841630,
ENSDARG00000090346	0	chr24	-	23988970	23998897	23993247,23993739,23996935,23997215,	23993688,23996776,23997076,23998092,
ENSDARG00000005085	1	chr16	+	53685812	53709101	53686480,53699608,53700977,53701192,	53699454,53700832,53701060,53708155,
ENSDARG00000079741	1	chr9	+	49659114	49745424	49659299,49669100,49732364,49738590,49739839,	49669069,49732164,49738331,49739528,49744312,
ENSDARG00000109682	1	chr8	+	34531954	34533781	34532339,34532629,34532808,34533043,34533422,	34532533,34532733,34532955,34533283,34533518,
ENSDARG00000112767	1	chr6	+	45346808	45376758	45346925,45347770,45350746,45354246,45356013,45359023,45365495,45371736,	45347287,45350676,45354012,45355898,45358843,45365383,45371568,45371911,
ENSDARG00000090886	1	chr10	+	2529037	2550378	2529235,2531370,2531513,2531901,2533553,2533781,2536053,2536297,2536470,2539297,2539491,2541886,2542023,2542194,2543542,2547672,2547860,	2531298,2531471,2531823,2533465,2533635,2536002,2536197,2536385,2539216,2539406,2541799,2541975,2542104,2543442,2547588,2547756,2550012,
ENSDARG00000105210	1	chr14	-	2589465	2602445	2589939,2592214,2594216,2596254,2598233,2599378,2600839,2601057,	2592040,2594152,2596081,2598104,2599188,2600701,2600918,2602271,
ENSDARG00000099690	1	chr10	-	323401	342564	324583,324790,326857,327007,328745,328888,329004,329392,331245,332315,333057,	324733,326788,326939,328703,328855,328959,329253,330933,332246,332877,342388,
ENSDARG00000006868	0	chr8	-	54220551	54223316	54222078,54223144,	54222979,54223243,
ENSDARG00000078022	1	chr2	+	50738325	50756119	50741078,50745172,50745464,50748122,50749316,	50745054,50745297,50747979,50749141,50755989,
ENSDARG00000100534	1	chr25	-	768014	774471	768111,768437,769348,769652,770801,771161,771653,773261,	768375,769275,769428,770737,771001,771441,773089,774193,
ENSDARG00000038207	1	chr11	+	41936435	41960276	41936582,41938633,41940335,41941724,41942500,41946351,41948386,41950513,41952601,41955699,41956029,41956275,41958090,41958387,	41938540,41940243,41941677,41942345,41946202,41948312,41950326,41952528,41955503,41955982,41956123,41957969,41958269,41959988,
ENSDARG00000110967	1	chr23	-	6754910	6765653	6759606,6763762,6764049,	6763673,6763871,6765364,
ENSDARG00000107486	1	chr1	-	8001435	8012476	8004202,8004403,8006961,8007216,8009280,8011360,	8004303,8006790,8007070,8009076,8011327,8012091,
ENSDARG00000074671	1	chr3	-	59453467	59472422	59456233,59459513,59461812,59469577,	59459334,59461568,59469370,59471586,
ENSDARG00000079760	1	chr15	+	44093286	44098922	44093413,44095816,	44095651,44097810,
ENSDARG00000113198	1	chr22	+	6512469	6515824	6512763,	6515023,
ENSDARG00000099664	1	chr2	-	22353422	22363460	22354001,22355794,22357477,22362355,	22355745,22357414,22362188,22363359,
ENSDARG00000105009	1	chr19	+	18797623	18808021	18798265,18799652,18800109,18801019,18804207,	18799121,18799921,18800900,18804064,18807905,
ENSDARG00000060489	0	chr16	+	43344475	43346916	43345334,43346557,	43346376,43346665,
ENSDARG00000089327	1	chr10	+	29840725	29848513	29840789,29842045,29843290,29843485,29844565,29845746,29846663,29846812,29846990,29847316,29847491,	29841899,29843138,29843369,29844407,29845648,29846586,29846774,29846919,29847170,29847405,29847980,
ENSDARG00000101954	1	chr11	+	2202987	2204197	2203421,	2203852,
ENSDARG00000102720	1	chr3	+	49097775	49100456	49097943,49098077,49098346,49098593,49099719,	49098023,49098159,49098432,49099609,49099922,
ENSDARG00000076949	1	chr10	+	19595009	19598009	19596049,	19597127,
ENSDARG00000042717	1	chr8	+	28358161	28365547	28358280,28358631,28359564,28361104,28361384,	28358460,28359378,28360917,28361191,28364813,
ENSDARG00000101057	1	chr11	+	44356707	44363032	44356810,44358966,44359872,44362049,	44358786,44359696,44361624,44362962,
ENSDARG00000014506	0	chr10	-	29269998	29272757	29270348,29271014,29271790,29272014,	29270900,29271597,29271880,29272638,
ENSDARG00000107053	1	chr16	+	5539189	5544738	5539746,5540188,5541587,	5540132,5541417,5544505,
ENSDARG00000114958	1	chr17	-	2580541	2584423	2580635,2580816,2580970,2581160,2582035,2582210,2582434,	2580716,2580888,2581043,2581858,2582107,2582316,2583890,
ENSDARG00000000529	0	chr9	+	54716436	54743987	54716714,54718294,54719101,54719228,54722156,54722604,54723452,54725318,54725704,54728339,54728863,54730706,54734676,54736543,54739204,54739644,54741474,54741907,54742240,54742685,54742947,54743798,	54718094,54719033,54719201,54722049,54722468,54723279,54725212,54725585,54728266,54728772,54730517,54734546,54736432,54738981,54739455,54741330,54741807,54742175,54742594,54742807,54743734,54743883,
ENSDARG00000013009	0	chr8	-	53918234	53926228	53919714,53922234,	53921688,53926025,
ENSDARG00000024831	0	chr21	+	7823146	7832351	7823270,7825606,7825960,7829145,7829577,7831560,	7825513,7825803,7828935,7829435,7831443,7831823,
ENSDARG00000101915	1	chr1	+	59062603	59065948	59062807,59063248,	59063138,59065522,
ENSDARG00000086842	1	chr9	-	52378484	52386733	52378956,52381312,52382352,	52381249,52382265,52386619,
ENSDARG00000111734	0	chr10	+	19596214	19598009	19596635,	19597002,
ENSDARG00000103340	1	chr19	+	18758014	18766405	18758589,18759923,18760160,18762372,18764987,	18759814,18760035,18762266,18764806,18765067,
ENSDARG00000079065	1	chr14	-	484389	493029	484503,490023,	489367,492939,
ENSDARG00000062936	1	chr23	-	2050359	2081554	2055247,2065094,	2064970,2080945,
ENSDARG00000106873	1	chr14	+	49604362	49665640	49604435,49604910,49628136,49654271,	49604744,49627229,49652473,49664972,
ENSDARG00000027169	1	chr10	-	25214270	25217347	25214401,25214719,25215004,25215542,25215875,25216042,25216482,25216841,25217059,	25214573,25214822,25215309,25215612,25215960,25216214,25216756,25216919,25217149,
ENSDARG00000059606	0	chr5	+	58687541	58696138	58687745,58688763,58688938,58689095,58690126,58690373,58691817,58691939,58693239,58694137,	58688600,58688840,58689029,58690064,58690312,58691706,58691909,58693144,58694005,58695588,
ENSDARG00000098586	1	chr17	+	450956	456458	451103,	455721,
